"id";"title";"slug";"price_guide"
1;"Alfa Romeo";"alfa-romeo";0
2;"Aston Martin";"aston-martin";0
3;"Audi";"audi";0
4;"Bentley";"bentley";0
5;"BMW";"bmw";0
6;"Chevrolet";"chevrolet";0
7;"Chrysler";"chrysler";0
8;"Citroen";"citroen";0
9;"Daewoo";"daewoo";0
10;"DAF";"daf";0
11;"Daihatsu";"daihatsu";0
12;"Daimler";"daimler";0
13;"Datsun";"datsun";0
14;"Dodge";"dodge";0
15;"Ferrari";"ferrari";0
16;"Fiat";"fiat";0
17;"Ford";"ford";0
18;"Geely";"geely";0
19;"Honda";"honda";0
20;"Hummer";"hummer";0
21;"Hyundai";"hyundai";0
22;"Isuzu";"isuzu";0
23;"Jaguar";"jaguar";0
24;"Jeep";"jeep";0
25;"Kia";"kia";0
26;"Lada";"lada";0
27;"Lamborghini";"lamborghini";0
28;"Lancia";"lancia";0
29;"Land Rover";"land-rover";0
30;"Lexus";"lexus";0
31;"Lotus";"lotus";0
32;"Mahindra";"mahindra";0
33;"Maserati";"maserati";0
34;"Mazda";"mazda";0
35;"Mercedes-Benz";"mercedes-benz";0
36;"MG";"mg";0
37;"Mini";"mini";0
38;"Mitsubishi";"mitsubishi";0
39;"Nissan";"nissan";0
40;"Oldsmobile";"oldsmobile";0
41;"Opel";"opel";0
42;"Peugeot";"peugeot";0
43;"Porsche";"porsche";0
44;"Proton";"proton";0
45;"Renault";"renault";0
46;"Rolls Royce";"rolls-royce";0
47;"Rover";"rover";0
48;"Saab";"saab";0
49;"Samsung";"samsung";0
50;"Seat";"seat";0
51;"Skoda";"skoda";0
52;"Smart";"smart";0
53;"Ssang Yong";"ssang-yong";0
54;"Subaru";"subaru";0
55;"Suzuki";"suzuki";0
56;"Tata";"tata";0
57;"Toyota";"toyota";0
58;"Vector";"vector";0
59;"Venturi";"venturi";0
60;"Volkswagen";"volkswagen";0
61;"Volvo";"volvo";0
62;"Foton";"foton";0
63;"Leyland";"leyland";0
64;"Scania";"scania";0
65;"Morris";"morris";0
66;"Aprilia";"aprilia";0
67;"Bajaj";"bajaj";0
68;"Ducati";"ducati";0
69;"Harley-Davidson";"harley-davidson";0
70;"Kawasaki";"kawasaki";0
71;"KTM";"ktm";0
72;"Triumph";"triumph";0
73;"Yamaha";"yamaha";0
74;"Man";"man";0
75;"Hino";"hino";0
76;"IVECO";"iveco";0
77;"Cadillac";"cadillac";0
78;"Chery";"chery";0
79;"Equipment & Machinery";"equipment-machinery";0
80;"FAW";"faw";0
81;"Hitachi";"hitachi";0
82;"John Deere";"john-deere";0
83;"Lifan";"lifan";0
84;"Massey-Ferguson";"massey-ferguson";0
85;"New Holland";"new-holland";0
86;"Shineray";"shineray";0
87;"Sinotruk";"sinotruk";0
88;"145";"alfa-romeo-145";0
89;"146";"alfa-romeo-146";0
90;"147";"alfa-romeo-147";0
91;"155";"alfa-romeo-155";0
92;"156";"alfa-romeo-156";0
93;"159";"alfa-romeo-159";0
94;"1600";"alfa-romeo-1600";0
95;"164";"alfa-romeo-164";0
96;"166";"alfa-romeo-166";0
97;"175";"alfa-romeo-175";0
98;"1750";"alfa-romeo-1750";0
99;"179";"alfa-romeo-179";0
100;"1900";"alfa-romeo-1900";0
101;"2000";"alfa-romeo-2000";0
102;"2600";"alfa-romeo-2600";0
103;"33";"alfa-romeo-33";0
104;"6";"alfa-romeo-6";0
105;"66";"alfa-romeo-66";0
106;"75";"alfa-romeo-75";0
107;"8C";"alfa-romeo-8c";0
108;"90";"alfa-romeo-90";0
109;"Alfasud";"alfa-romeo-alfasud";0
110;"Alfetta";"alfa-romeo-alfetta";0
111;"AR";"alfa-romeo-ar";0
112;"Arna";"alfa-romeo-arna";0
113;"Bella";"alfa-romeo-bella";0
114;"Berlina";"alfa-romeo-berlina";0
115;"Brera";"alfa-romeo-brera";0
116;"Caimano";"alfa-romeo-caimano";0
117;"Carabo";"alfa-romeo-carabo";0
118;"Centauri";"alfa-romeo-centauri";0
119;"Crosswagon";"alfa-romeo-crosswagon";0
120;"Cuneo";"alfa-romeo-cuneo";0
121;"Dardo";"alfa-romeo-dardo";0
122;"Disco";"alfa-romeo-disco";0
123;"Eagle";"alfa-romeo-eagle";0
